dataset density:0.001291
training model.......
parameters are:ratio=0.600000, reg_u=0.010000, reg_v=0.010000, latent_size=20, lr=0.000030, iters=1000
traning iteration: 0 ,loss: 1226775.827031, vali_rmse: 4.232751
traning iteration: 1 ,loss: 1226223.354615, vali_rmse: 4.231831
traning iteration: 2 ,loss: 1225426.601365, vali_rmse: 4.230504
traning iteration: 3 ,loss: 1224400.360342, vali_rmse: 4.228795
traning iteration: 4 ,loss: 1223155.631151, vali_rmse: 4.226722
traning iteration: 5 ,loss: 1221700.261159, vali_rmse: 4.224299
traning iteration: 6 ,loss: 1220039.448925, vali_rmse: 4.221535
traning iteration: 7 ,loss: 1218176.144178, vali_rmse: 4.218434
traning iteration: 8 ,loss: 1216111.370740, vali_rmse: 4.214999
traning iteration: 9 ,loss: 1213844.492790, vali_rmse: 4.211230
39.14969563484192
traning iteration: 10 ,loss: 1211373.440265, vali_rmse: 4.207124
traning iteration: 11 ,loss: 1208694.905781, vali_rmse: 4.202675
traning iteration: 12 ,loss: 1205804.522836, vali_rmse: 4.197877
traning iteration: 13 ,loss: 1202697.033164, vali_rmse: 4.192722
traning iteration: 14 ,loss: 1199366.449583, vali_rmse: 4.187200
traning iteration: 15 ,loss: 1195806.219582, vali_rmse: 4.181302
traning iteration: 16 ,loss: 1192009.393961, vali_rmse: 4.175017
traning iteration: 17 ,loss: 1187968.804036, vali_rmse: 4.168332
traning iteration: 18 ,loss: 1183677.250216, vali_rmse: 4.161237
traning iteration: 19 ,loss: 1179127.703983, vali_rmse: 4.153720
traning iteration: 20 ,loss: 1174313.524494, vali_rmse: 4.145771
traning iteration: 21 ,loss: 1169228.690082, vali_rmse: 4.137378
traning iteration: 22 ,loss: 1163868.043803, vali_rmse: 4.128535
traning iteration: 23 ,loss: 1158227.550898, vali_rmse: 4.119232
traning iteration: 24 ,loss: 1152304.564503, vali_rmse: 4.109466
traning iteration: 25 ,loss: 1146098.094212, vali_rmse: 4.099234
traning iteration: 26 ,loss: 1139609.070229, vali_rmse: 4.088534
traning iteration: 27 ,loss: 1132840.593786, vali_rmse: 4.077373
traning iteration: 28 ,loss: 1125798.162540, vali_rmse: 4.065755
traning iteration: 29 ,loss: 1118489.857735, vali_rmse: 4.053693
traning iteration: 30 ,loss: 1110926.478409, vali_rmse: 4.041202
traning iteration: 31 ,loss: 1103121.606942, vali_rmse: 4.028302
traning iteration: 32 ,loss: 1095091.590170, vali_rmse: 4.015017
traning iteration: 33 ,loss: 1086855.421325, vali_rmse: 4.001377
traning iteration: 34 ,loss: 1078434.510558, vali_rmse: 3.987414
traning iteration: 35 ,loss: 1069852.335959, vali_rmse: 3.973165
traning iteration: 36 ,loss: 1061133.972886, vali_rmse: 3.958669
traning iteration: 37 ,loss: 1052305.507047, vali_rmse: 3.943967
traning iteration: 38 ,loss: 1043393.345805, vali_rmse: 3.929102
traning iteration: 39 ,loss: 1034423.452145, vali_rmse: 3.914116
traning iteration: 40 ,loss: 1025420.535673, vali_rmse: 3.899047
traning iteration: 41 ,loss: 1016407.244052, vali_rmse: 3.883934
traning iteration: 42 ,loss: 1007403.404992, vali_rmse: 3.868809
traning iteration: 43 ,loss: 998425.372217, vali_rmse: 3.853697
traning iteration: 44 ,loss: 989485.527504, vali_rmse: 3.838619
traning iteration: 45 ,loss: 980591.984383, vali_rmse: 3.823586
traning iteration: 46 ,loss: 971748.527084, vali_rmse: 3.808602
traning iteration: 47 ,loss: 962954.801608, vali_rmse: 3.793666
traning iteration: 48 ,loss: 954206.755571, vali_rmse: 3.778764
traning iteration: 49 ,loss: 945497.301840, vali_rmse: 3.763883
traning iteration: 50 ,loss: 936817.160391, vali_rmse: 3.748999
traning iteration: 51 ,loss: 928155.815854, vali_rmse: 3.734090
traning iteration: 52 ,loss: 919502.517074, vali_rmse: 3.719130
traning iteration: 53 ,loss: 910847.241328, vali_rmse: 3.704096
traning iteration: 54 ,loss: 902181.550143, vali_rmse: 3.688965
traning iteration: 55 ,loss: 893499.275416, vali_rmse: 3.673720
traning iteration: 56 ,loss: 884796.992214, vali_rmse: 3.658349
traning iteration: 57 ,loss: 876074.255868, vali_rmse: 3.642845
traning iteration: 58 ,loss: 867333.603130, vali_rmse: 3.627208
traning iteration: 59 ,loss: 858580.337565, vali_rmse: 3.611444
traning iteration: 60 ,loss: 849822.135859, vali_rmse: 3.595565
traning iteration: 61 ,loss: 841068.522909, vali_rmse: 3.579585
traning iteration: 62 ,loss: 832330.268885, vali_rmse: 3.563525
traning iteration: 63 ,loss: 823618.761082, vali_rmse: 3.547407
traning iteration: 64 ,loss: 814945.398347, vali_rmse: 3.531254
traning iteration: 65 ,loss: 806321.047311, vali_rmse: 3.515089
traning iteration: 66 ,loss: 797755.589225, vali_rmse: 3.498935
