dataset density:0.000808
training model.......
parameters are:ratio=0.600000, reg_u=0.010000, reg_v=0.010000, latent_size=20, lr=0.000030, iters=1000
traning iteration: 0 ,loss: 3446251.824798, vali_rmse: 3.746257
traning iteration: 1 ,loss: 3443764.615623, vali_rmse: 3.744911
traning iteration: 2 ,loss: 3440157.438076, vali_rmse: 3.742959
traning iteration: 3 ,loss: 3435476.534912, vali_rmse: 3.740424
traning iteration: 4 ,loss: 3429747.586084, vali_rmse: 3.737320
traning iteration: 5 ,loss: 3422979.514805, vali_rmse: 3.733650
traning iteration: 6 ,loss: 3415167.472290, vali_rmse: 3.729412
traning iteration: 7 ,loss: 3406295.247206, vali_rmse: 3.724595
traning iteration: 8 ,loss: 3396337.288363, vali_rmse: 3.719183
traning iteration: 9 ,loss: 3385260.485022, vali_rmse: 3.713157
279.238294839859
traning iteration: 10 ,loss: 3373025.814827, vali_rmse: 3.706494
traning iteration: 11 ,loss: 3359589.941906, vali_rmse: 3.699167
traning iteration: 12 ,loss: 3344906.824500, vali_rmse: 3.691148
traning iteration: 13 ,loss: 3328929.370464, vali_rmse: 3.682407
traning iteration: 14 ,loss: 3311611.158598, vali_rmse: 3.672914
traning iteration: 15 ,loss: 3292908.222781, vali_rmse: 3.662638
traning iteration: 16 ,loss: 3272780.874078, vali_rmse: 3.651552
traning iteration: 17 ,loss: 3251195.513468, vali_rmse: 3.639628
traning iteration: 18 ,loss: 3228126.366114, vali_rmse: 3.626845
traning iteration: 19 ,loss: 3203557.049357, vali_rmse: 3.613183
traning iteration: 20 ,loss: 3177481.874304, vali_rmse: 3.598628
traning iteration: 21 ,loss: 3149906.779191, vali_rmse: 3.583175
traning iteration: 22 ,loss: 3120849.806049, vali_rmse: 3.566823
traning iteration: 23 ,loss: 3090341.064242, vali_rmse: 3.549580
traning iteration: 24 ,loss: 3058422.176649, vali_rmse: 3.531461
traning iteration: 25 ,loss: 3025145.274391, vali_rmse: 3.512490
traning iteration: 26 ,loss: 2990571.686455, vali_rmse: 3.492696
traning iteration: 27 ,loss: 2954770.547821, vali_rmse: 3.472116
traning iteration: 28 ,loss: 2917817.604994, vali_rmse: 3.450795
traning iteration: 29 ,loss: 2879794.509830, vali_rmse: 3.428779
traning iteration: 30 ,loss: 2840788.842501, vali_rmse: 3.406121
traning iteration: 31 ,loss: 2800894.982215, vali_rmse: 3.382877
traning iteration: 32 ,loss: 2760215.755242, vali_rmse: 3.359106
traning iteration: 33 ,loss: 2718864.558235, vali_rmse: 3.334872
traning iteration: 34 ,loss: 2676967.423840, vali_rmse: 3.310241
traning iteration: 35 ,loss: 2634664.320653, vali_rmse: 3.285286
